Ime.i.prezime,Tijelo.javne.vlasti,Izvor.informacija,Godina,Datum.putovanja.-.polazak,Datum.putovanja.-.povratak,Odredište,Broj.osoba.u.pratnji,Korišten.Vladin.zrakoplov,Iznos.putnih.troškova.po.službenom.putovanju.(u.kn),Iznos.troškova.smještaja.po.službenom.putovanju.(u.kn),Iznos.troškova.reprezentacije.(u.kn),Odredište2,Odredište3,Odredište4,Odredište5,Trajanje.putovanja.(dana),Udaljenost.(m).[1],Udaljenost.(m).[2],Udaljenost.(m).[3],Udaljenost.(m).[4],Udaljenost.(m).[5],Udaljenost.(km,.povratak,.ukupno)
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-23,2017-02-23,"Sisak, Hrvatska",1,ne,75,0,,,,,,0,266737,,,,,533.474
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-27,2017-02-28,"Vukovar, Hrvatska",1,ne,150,0,,,,,,1,266737,,,,,533.474
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-03-17,2017-03-17,"Pakrac, Hrvatska",1,ne,170,0,,,,,,0,266737,,,,,533.474
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-03-23,2017-03-26,"Split, Hrvatska",2,ne,1874.5,1364.5,,"Jelsa, Hrvatska","Trogir, Hrvatska",,,3,266737,151904,81832,,,1000.946
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-04-04,2017-04-04,"Dubrovnik, Hrvatska",0,ne,853.75,0,,,,,,0,266737,,,,,533.474
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-11,2017-05-12,"Dubrovnik, Hrvatska",0,ne,2605.21,1236.46,,,,,,1,266737,,,,,533.474
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-04,2017-05-04,"Knin, Hrvatska",2,ne,340,0,,"Šibenik, Hrvatska",,,,0,266737,56533,,,,646.54
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-15,2017-05-15,"Otok, Hrvatska",1,ne,0,0,,"Nijemci, Hrvatska","Požega, Hrvatska",,,0,266737,56533,151904,,,950.348
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-19,2017-05-21,"Opatija, Hrvatska",1,ne,780,0,440,,,,,2,266737,,,,,533.474
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-24,2017-05-25,"Osijek, Hrvatska",0,ne,0,0,,,,,,1,266737,,,,,533.474
